"Date","Advertiser account name","Advertiser account ID","Total cost","Impressions","CTR","DPV","ATC","Purchases","New-to-brand purchases","Percent of purchases new-to-brand","Sales USD","New-to-brand product sales USD","Total DPV","Total ATC","Total purchases","Total new-to-brand purchases","Total new-to-brand purchases clicks","Total percent of purchases new-to-brand","Total sales USD","Total ROAS","Total new-to-brand product sales USD"
"Mar 13, 2026","TheraICE","=""583624002174508396""","550.20964","155984","0.5103%","2250","287","132","92","69.6970%","4291.29000","3027.49000","2476","346","151","104","3","68.8742%","4707.85000","8.55647","3286.82000"
"Mar 14, 2026","TheraICE","=""583624002174508396""","555.83129","153236","0.4679%","2244","281","105","69","65.7143%","3561.21000","2370.60000","2502","331","121","80","5","66.1157%","3975.24000","7.15188","2664.01000"
"Mar 15, 2026","TheraICE","=""583624002174508396""","555.46462","146698","0.4779%","2525","316","140","105","75.0000%","4870.94000","3615.60000","2813","382","164","119","8","72.5610%","5668.09000","10.20423","4031.85000"
"Mar 16, 2026","TheraICE","=""583624002174508396""","554.11823","139907","0.3888%","2283","313","153","104","67.9739%","5134.12000","3508.55000","2584","389","168","117","13","69.6429%","5566.50000","10.04569","3893.81000"
"Mar 17, 2026","TheraICE","=""583624002174508396""","553.48263","149948","0.3515%","2007","258","126","91","72.2222%","4029.93000","2948.80000","2241","315","145","103","12","71.0345%","4533.18000","8.19028","3283.11000"
"Mar 18, 2026","TheraICE","=""583624002174508396""","553.63365","148670","0.4063%","2284","302","125","99","79.2000%","4302.84000","3382.90000","2516","346","141","110","9","78.0142%","4652.49000","8.40355","3631.35000"
"Mar 19, 2026","TheraICE","=""583624002174508396""","553.22211","163260","0.3142%","2111","262","122","90","73.7705%","4062.19000","3021.75000","2322","314","137","101","7","73.7226%","4395.15000","7.94464","3269.16000"
"Mar 20, 2026","TheraICE","=""583624002174508396""","554.69913","163034","0.3490%","1968","295","118","81","68.6441%","3916.57000","2629.25000","2215","345","140","97","9","69.2857%","4466.39000","8.05191","3035.45000"
"Mar 21, 2026","TheraICE","=""583624002174508396""","555.72025","198487","0.2862%","1823","230","103","74","71.8447%","3476.03000","2580.70000","2076","280","122","85","8","69.6721%","3997.27000","7.19295","2915.10000"
"Mar 22, 2026","TheraICE","=""583624002174508396""","551.30436","185052","0.2718%","1865","280","104","72","69.2308%","3645.01000","2551.05000","2066","324","125","86","9","68.8000%","4233.83000","7.67966","2996.52000"
"Mar 23, 2026","TheraICE","=""583624002174508396""","501.31347","156460","0.3170%","1679","222","116","71","61.2069%","3821.07000","2317.64000","1951","281","140","87","10","62.1429%","4404.03000","8.78498","2709.86000"
"Mar 24, 2026","TheraICE","=""583624002174508396""","550.89270","134173","0.8183%","2051","338","119","93","78.1513%","4157.85000","3199.35000","2330","392","145","112","14","77.2414%","4872.63000","8.84497","3712.48000"
"Mar 25, 2026","TheraICE","=""583624002174508396""","557.82080","136690","0.7155%","2872","504","200","161","80.5000%","5387.64000","4270.53000","3166","572","227","181","13","79.7357%","6015.96000","10.78475","4787.14000"
